# t_s,ankle_deg,vF_mV,vE_mV,f_DF_Hz,u_DF,f_PF_Hz,u_PF
0.000150,18.891492,13.455555,10.154210,0.000000,0.000000,0.000000,0.000000
0.000300,18.821129,13.610404,10.308040,0.000000,0.000000,0.000000,0.000000
0.000450,18.707114,13.764537,10.461479,0.000000,0.000000,0.000000,0.000000
0.000600,18.554106,13.917944,10.614510,0.000000,0.000000,0.000000,0.000000
0.000750,18.368223,14.070618,10.767122,0.000000,0.000000,0.000000,0.000000
0.000900,18.156680,14.222547,10.919300,0.000000,0.000000,0.000000,0.000000
0.001050,17.927289,14.373724,11.071032,0.000000,0.000000,0.000000,0.000000
0.001200,17.687923,14.524140,11.222303,0.000000,0.000000,0.000000,0.000000
0.001350,17.446092,14.673785,11.373101,0.000000,0.000000,0.000000,0.000000
0.001500,17.208658,14.822651,11.523413,0.000000,0.000000,0.000000,0.000000
0.001650,16.981639,14.970729,11.673226,0.000000,0.000000,0.000000,0.000000
0.001800,16.770102,15.118011,11.822527,0.000000,0.000000,0.000000,0.000000
0.001950,16.578120,15.264489,11.971305,0.000000,0.000000,0.000000,0.000000
0.002100,16.408782,15.410154,12.119546,0.000000,0.000000,0.000000,0.000000
0.002250,16.264241,15.554999,12.267238,0.000000,0.000000,0.000000,0.000000
0.002400,16.145791,15.699015,12.414370,0.000000,0.000000,0.000000,0.000000
0.002550,16.053952,15.842195,12.560929,0.000000,0.000000,0.000000,0.000000
0.002700,15.988561,15.984532,12.706905,0.000000,0.000000,0.000000,0.000000
0.002850,15.948862,16.126018,12.852286,0.000000,0.000000,0.000000,0.000000
0.003000,15.933593,16.266645,12.997060,0.000000,0.000000,0.000000,0.000000
0.003150,15.941061,16.406407,13.141216,0.000000,0.000000,0.000000,0.000000
0.003300,15.969215,16.545298,13.284745,0.000000,0.000000,0.000000,0.000000
0.003450,16.015709,16.683310,13.427635,0.000000,0.000000,0.000000,0.000000
0.003600,16.077960,16.820437,13.569875,0.000000,0.000000,0.000000,0.000000
0.003750,16.153197,16.956673,13.711456,0.000000,0.000000,0.000000,0.000000
0.003900,16.238486,17.092011,13.852368,0.000000,0.000000,0.000000,0.000000
0.004050,16.330731,17.226447,13.992601,0.000000,0.000000,0.000000,0.000000
0.004200,16.426727,17.359973,14.132145,0.000000,0.000000,0.000000,0.000000
0.004350,16.523221,17.492586,14.270991,0.000000,0.000000,0.000000,0.000000
0.004500,16.616981,17.624278,14.409130,0.000000,0.000000,0.000000,0.000000
0.004650,16.704870,17.755046,14.546553,0.000000,0.000000,0.000000,0.000000
0.004800,16.783930,17.884884,14.683251,0.000000,0.000000,0.000000,0.000000
0.004950,16.851474,18.013787,14.819216,0.000000,0.000000,0.000000,0.000000
0.005100,16.905169,18.141752,14.954439,0.000000,0.000000,0.000000,0.000000
0.005250,16.943113,18.268772,15.088913,0.000000,0.000000,0.000000,0.000000
0.005400,16.963900,18.394845,15.222629,0.000000,0.000000,0.000000,0.000000
0.005550,16.966666,18.519966,15.355580,0.000000,0.000000,0.000000,0.000000
0.005700,16.951121,18.644132,15.487759,0.000000,0.000000,0.000000,0.000000
0.005850,16.917551,18.767337,15.619157,0.000000,0.000000,0.000000,0.000000
0.006000,16.866811,18.889580,15.749769,0.000000,0.000000,0.000000,0.000000
0.006150,16.800283,19.010856,15.879587,0.000000,0.000000,0.000000,0.000000
0.006300,16.719827,19.131163,16.008604,0.000000,0.000000,0.000000,0.000000
0.006450,16.627708,19.250497,16.136815,0.000000,0.000000,0.000000,0.000000
0.006600,16.526517,19.368856,16.264212,0.000000,0.000000,0.000000,0.000000
0.006750,16.419081,19.486236,16.390791,0.000000,0.000000,0.000000,0.000000
0.006900,16.308356,19.602636,16.516544,0.000000,0.000000,0.000000,0.000000
0.007050,16.197312,19.718052,16.641467,0.000000,0.000000,0.000000,0.000000
0.007200,16.088819,19.832482,16.765553,0.000000,0.000000,0.000000,0.000000
0.007350,15.985513,19.945926,16.888798,0.000000,0.000000,0.000000,0.000000
0.007500,15.889662,20.058379,17.011197,0.000000,0.000000,0.000000,0.000000
0.007650,15.803121,20.169842,17.132744,0.000000,0.000000,0.000000,0.000000
0.007800,15.727323,20.280311,17.253435,0.000000,0.000000,0.000000,0.000000
0.007950,15.663281,20.389786,17.373265,0.000000,0.000000,0.000000,0.000000
0.008100,15.611610,20.498264,17.492230,0.000000,0.000000,0.000000,0.000000
0.008250,15.572549,20.605746,17.610326,0.000000,0.000000,0.000000,0.000000
0.008400,15.545997,20.712230,17.727548,6.666667,0.000000,0.000000,0.000000
0.008550,15.531544,20.817714,17.843894,13.313333,0.000000,0.000000,0.000000
0.008700,15.528512,20.922198,17.959358,19.940060,0.000000,0.000000,0.000000
0.008850,15.535986,21.025682,18.073938,19.880240,0.000000,0.000000,0.000000
0.009000,15.552856,21.128164,18.187631,19.820599,0.000000,0.000000,0.000000
0.009150,15.577849,21.229644,18.300432,19.761137,0.000000,0.000000,0.000000
0.009300,15.609566,21.330123,18.412340,19.701854,0.000000,0.000000,0.000000
0.009450,15.646496,21.429599,18.523350,19.642748,0.000000,0.000000,0.000000
0.009600,15.687044,21.528072,18.633461,19.583820,0.000000,0.000000,0.000000
0.009750,15.729559,21.625543,18.742670,19.525069,0.000000,0.000000,0.000000
0.009900,15.772376,21.722012,18.850975,19.466493,0.000000,0.000000,0.000000
0.010050,15.813853,21.817479,18.958372,19.408094,0.000000,0.000000,0.000000
0.010200,15.852407,21.911944,19.064861,19.349870,0.000000,0.000000,0.000000
0.010350,15.886561,22.005408,19.170438,19.291820,0.000000,0.000000,0.000000
0.010500,15.914981,22.097871,19.275103,19.233945,0.000000,0.000000,0.000000
0.010650,15.936512,22.189335,19.378853,19.176243,0.000000,0.000000,0.000000
0.010800,15.950218,22.279799,19.481687,19.118714,0.000000,0.000000,0.000000
0.010950,15.955406,22.369265,19.583604,19.061358,0.000000,0.000000,0.000000
